Date Time,Open,High,Low,Close,Volume,Change %
2018-03-07 0:00:00,8.81,8.85,8.68,8.68,3990000,-1.48%
2018-03-06 0:00:00,8.88,8.93,8.78,8.81,3480000,-0.68%
2018-03-05 0:00:00,8.98,8.99,8.83,8.87,2470000,-0.67%
2018-03-02 0:00:00,9.07,9.07,8.93,8.93,3290000,-1.33%
2018-03-01 0:00:00,8.79,9.08,8.78,9.05,3930000,3.08%
2018-02-28 0:00:00,8.92,9.01,8.78,8.78,7950000,-1.57%
2018-02-27 0:00:00,8.92,9.01,8.9,8.92,4880000,0.00%
2018-02-26 0:00:00,9.1,9.16,8.92,8.92,3940000,-1.98%
2018-02-23 0:00:00,9.07,9.13,9.03,9.1,3270000,-0.11%
2018-02-22 0:00:00,9.11,9.17,9.07,9.11,2300000,-0.22%
2018-02-21 0:00:00,9.08,9.21,9.02,9.13,2430000,0.00%
2018-02-20 0:00:00,9.16,9.24,9.08,9.13,3150000,-0.87%
2018-02-19 0:00:00,9.09,9.25,9.04,9.21,9190000,2.22%
2018-02-15 0:00:00,8.97,9.08,8.96,9.01,3270000,1.01%
2018-02-14 0:00:00,8.89,8.95,8.88,8.92,2390000,0.68%
2018-02-13 0:00:00,8.89,8.95,8.82,8.86,3530000,0.68%
2018-02-12 0:00:00,8.85,8.97,8.8,8.8,4400000,0.23%
2018-02-09 0:00:00,8.89,8.95,8.78,8.78,7720000,-2.44%
2018-02-08 0:00:00,9.1,9.17,9,9,3910000,-0.44%
2018-02-07 0:00:00,9.26,9.35,9,9.04,6630000,-1.63%
2018-02-06 0:00:00,9.3,9.3,9.12,9.19,5980000,-1.82%
2018-02-05 0:00:00,9.37,9.48,9.34,9.36,4050000,-0.64%
2018-02-02 0:00:00,9.69,9.69,9.42,9.42,5140000,-2.18%
2018-01-30 0:00:00,9.56,9.67,9.56,9.63,2320000,-0.52%
2018-01-29 0:00:00,9.6,9.7,9.58,9.68,3030000,0.83%
2018-01-26 0:00:00,9.61,9.61,9.56,9.6,2680000,0.10%
2018-01-25 0:00:00,9.66,9.7,9.57,9.59,4010000,-0.72%
2018-01-24 0:00:00,9.8,9.8,9.66,9.66,3650000,-1.63%
2018-01-23 0:00:00,9.75,9.82,9.62,9.82,7650000,1.03%
2018-01-22 0:00:00,9.68,9.72,9.54,9.72,3670000,0.41%
2018-01-19 0:00:00,9.66,9.68,9.54,9.68,2450000,0.31%
2018-01-18 0:00:00,9.6,9.67,9.56,9.65,4900000,0.42%
2018-01-17 0:00:00,9.46,9.61,9.4,9.61,3770000,1.37%
2018-01-16 0:00:00,9.38,9.48,9.28,9.48,2310000,1.61%
2018-01-15 0:00:00,9.36,9.38,9.33,9.33,88100000,-0.32%
2018-01-12 0:00:00,9.19,9.36,9.18,9.36,4130000,1.96%
2018-01-11 0:00:00,9.35,9.39,9.18,9.18,2810000,-2.34%
2018-01-10 0:00:00,9.38,9.43,9.31,9.4,2050000,0.43%
2018-01-09 0:00:00,9.55,9.55,9.3,9.36,4290000,-1.47%
2018-01-08 0:00:00,9.63,9.63,9.46,9.5,3470000,-1.25%
2018-01-05 0:00:00,9.5,9.62,9.43,9.62,4340000,1.69%
2018-01-04 0:00:00,9.27,9.46,9.26,9.46,3830000,0.96%
2018-01-03 0:00:00,9.3,9.5,9.3,9.37,3420000,0.64%
2018-01-02 0:00:00,9.19,9.31,9.09,9.31,97330000,1.20%
